查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
孕妇零食,920,1277227.10
石菖蒲,920,2993.91
青盐炮附刷牙粉,920,2515.06
黄芽汤代茶饮,916,592.42
蔬菜京东自营旗舰店,913,668.12
黄连中药材,913,3348.00
葛根灵芝护肝片,903,10425.87
黄芪颗粒,903,2368.60
仙方三补丸,902,649.63
川芎茶调丸,900,668.53
小金丸散结消肿,899,248.54
茯苓八珍糕,899,6937.40
白芥子,897,1142.64
苁蓉,894,1933.05
黑芝麻糊无糖,890,4947.45
拨云退翳丸,887,400.40
乌苓苁蓉合剂口服液,886,588.82
茜草生地膏,885,1631.63
猫抓草,881,939.75
黄芪小蓟饮,877,265.08
山茱萸野生,869,635.00
浮萍,869,3353.66
瑞,869,1526.32
二陈平胃丸,868,135.42
早餐食品上班族,868,26627.67
金桔甘草,867,1446.98
八珍汤,856,2168.25
益母草,852,8277.94
薏仁片,850,767.20
黄精丸,849,944.81
菊粉,839,6767.17
酸枣,836,39953.93
除湿,831,65031.48
补髓丹,830,347.72
金篑肾气丸,826,25.68
香砂胃苓丸,825,1352.30
如意珍宝丸,822,1631.35
口臭,820,67209.86
贵州特产,819,854126.82
疏肝健脾丸,818,1186.19
心可舒丸,815,220.94
阿康健康大药房旗舰店,802,7519.39
白鲜皮,799,653.37
二至丸北京同仁堂京东大药房,796,412.73
力补金秋,795,1673.67
汉益初茯湿膏,794,611.23
四妙丸同仁堂,792,1283.35
还少丹,792,725.14
nfc,791,7918.37
桂枝龙骨牡蛎汤,787,853.53
珍珠粉京东自营官方旗舰店,785,248.12
明目二十五味丸,784,1023.39
丁香中药材,771,458.88
远志中药,768,1004.28
佰德维清脂灵,766,537.88
俄罗斯小钢炮,760,249.82
玛咖片,760,6530.21
荷叶山楂白芥子茶,756,5362.48
大药房京东自营旗舰店,752,1479.43
当归片,749,3860.78
怀山药片,748,1202.96
减肥代餐,743,491870.47
五指毛桃煲汤,741,728.41
垂盆草,729,7873.77
口臭口气重嘴巴臭,728,27049.26
菌菇汤包,710,13014.68
桑麻丸,692,796.90
覆盆子果,688,370.60
雄维他,681,252.77
肉桂粉京东自营旗舰店,666,146.69
黄荆油胶丸,654,297.66
生力片增粗增硬中成药,648,144.93
石斛京东自营旗舰店,621,348.20
杞菊石斛地黄决明子子片,611,170.70
柿子叶子,603,324.19
甘露消毒丸,598,1169.24
伏芩,583,966.93
胖东来零食,575,11322.83
白鲜皮中药材泡水喝,572,394.98
桑葚干新疆黑桑椹干京东自营,549,631.42
亚麻籽核桃酥,531,2782.82
消遥丸,529,951.98
党参丁香猴头菇沙棘片,527,943.89
纯诚堂茯湿膏,526,529.19
