查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
沙苑子中药材500g正宗新货,104,48.32
灵芝琵芭叶麦冬片,104,0.00
苦瓜片泡茶,104,42.88
青甘源同仁堂,104,0.00
宝药大药房旗舰店,103,16.56
快乐减脂,103,1953.83
桂蒲肾清片,103,188.85
腾黄儙骨丸,103,0.00
芸参茯苓膏,103,0.00
黄芪党参当归人参八珍组合花草茶,103,129.24
亚麻仔核桃苏,102,0.00
北京同仁堂药灵芝枇杷麦冬片,102,0.00
戒烟特效药,102,1508.13
珍苓解郁颗粒,102,45.13
舒宝森茯苓,102,85.15
达克迪骨黄金片旗舰店,102,74.41
中华牌奶粉,101,446.07
五味子菟丝子组合装五味子茶,101,27.51
北京同仁堂沙苑子胶囊,101,0.00
半夏厚扑丸,101,9.31
地达西尼胶囊,101,1696.50
河南烩面,101,7997.36
海洛迪血糖平衡片,101,292.36
燕窝杏仁七白糕,101,0.00
野生新鲜薤白,101,0.00
人参首乌胶囊,100,157.50
君子四品,100,482.55
天麻仲叶片,100,0.00
明目第黄丸,100,0.00
白芍山楂大片泡茶,100,0.00
纤力虎,100,174.89
老款原装西藏虫草鹿鞭丸正品,100,0.00
九蒸九晒【熟地黄】,99,0.00
人参苦瓜荞麦桑叶片京东自营,99,45.13
灵之枇杷叶麦冬片,99,0.00
牛黄清心局方,99,105.83
红薯粉条无添加京东自营旗舰店,99,201.38
胖东来羊肚菌,99,52.27
荷叶芦根薏仁冬瓜皮茶,99,65.82
补天灵片补肾固肾阳痿早泄,99,19.23
金牧初钙片旗舰店,99,27.51
黄柏苍术龙胆草组合泡水的功效,99,0.00
黄芪白芷片同仁堂,99,0.00
五白谷物即食麦片官方旗舰店京东自营,98,0.00
人参肽饮口服液子凡药业旗舰店,98,59.42
天麻藤饮,98,9.31
甜梦胶囊北京同仁堂,98,0.00
石斛有效果吗,98,250.88
维生素b12黄芪小蓟饮,98,0.00
菟丝子罐装,98,0.00
一片大好正品老款,97,0.00
同仁堂止鸣丹,97,0.00
培季堂,97,52.27
春季减肥,97,459.27
桂浦肾清胶囊,97,0.00
每日纤维,97,0.00
益舒敏,97,533.72
赤康伏苓,97,0.00
陈皮八仙果正宗新货,97,0.00
浓缩丸 ,96,25.68
灵芝枇杷,96,50.33
石斜沙仁麦冬片,96,0.00
藏甘灵,96,19.23
买药9周年,95,0.00
天麻当归杜仲叶三七片,95,0.00
当归四泗逆汤,95,0.00
怀山堂中华老字号铁棍怀山药粉,95,0.00
枇杷官方旗舰店京东自营,95,0.00
用理中丸,95,0.00
美力冠玉竹,95,89.77
胡彦斌喉糖,95,36.67
香山红蚂蚁,95,0.00
京五东,94,0.00
北京同仁堂双黄当归栀子片,94,0.00
山楂消食健胃,94,0.00
春日减重,94,692.84
白芍新货大片泡茶,94,0.00
益生菌华大,94,269.67
莲子芯泡水喝的功效与作用,94,110.53
黄茋双参枸杞丸,94,33.88
人参百合玉竹罗汉果片趣医淼,93,25.68
林间盏,93,146.69
石斛沙仁麦东片,93,41.71
石斛砂仁麦冬片国药,93,76.41
苁蓉补肾胶囊阳痿早泄,93,0.00
藏迎堂茯湿膏,93,45.13
酸枣仁桂圆莲子羹,93,0.00
mig白桑叶,92,75.08
北京同仁堂五味子中药材500g克,92,0.00
椮灵白术丸,92,0.00
灵艺枇杷叶麦冬片,92,0.00
胖东来大药房灵芝山茱萸天麻杜仲叶片,92,0.00
蒲公英龙胆草垂盆草,92,36.67
蜂蜜柠檬片,92,2745.03
马历瓶胶囊,92,0.00
优米氨酸,91,59.42
力保金秋胶囊,91,222.36
北京西苑医院复方金钱草膏,91,25.68
咖啡9.9,91,866.56
柿子叶官方旗舰營,91,0.00
灵芝枇杷叶冬麦片,91,0.00
疏肝益阳胶囊丸北京同仁堂,91,29.23
羽歌伏湿膏,91,25.68
西西尼克尿酸胶囊旗舰店,91,290.51
豫仁堂玉灵膏,91,86.33
香砂六君丸祛湿排毒去除湿气瘦肚子,91,73.73
鸽子,91,48352.54
乐茵密素,90,354.34
佛手香药茯苓汤,90,0.00
力补金秋胶囊补肾,90,36.67
吃哪些食物可以养胃,90,0.00
明创堂茯苓,90,0.00
杜仲补朴天素丸,90,0.00
桑叶苦瓜芹菜面京东自营,90,32.40
洛神花京东自营旗舰店,90,62.70
盐焗粉,90,5868.85
直降美滋滋,90,227.49
石湖沙仁麦冬片,90,23.71
akiyo印尼紫糖,89,216.39
佛手香橼伏苓汤,89,0.00
唐灵呼和浩特,89,64.27
复方灵芝,89,58.57
山茱萸天麻茯苓,89,0.00
淫羊藿肉苁蓉等九味泡酒药材料,89,0.00
西洋参黄芪菊花枸杞茶决明子金银花蒲公英根养肝护肝茶熬夜养生茶,89,0.00
黄芪双参枸杞,89,64.27
黄芪白芷片官方旗舰,89,0.00
丹卡丁,88,69.52
二斤皮,88,106.31
华大益生菌,88,808.75
去湿气的特效药健脾去湿,88,23.71
双花党参灵芝片全新升级,88,0.00
庆余堂喉糖台湾,88,13.40
氨基酸奶粉,88,4106.99
锁阳淫羊藿肉苁蓉 ,88,0.00
香椽黄芪茯苓片,88,0.00
党参茯苓片自营,87,0.00
全杜仲浓缩丸,87,0.00
巴马,87,1768.21
百合党参金乔麦,87,36.67
众信医药超市,86,58.57
北京同仁堂柿子叶茶,86,0.00
北京同仁堂益寿强身膏,86,0.00
北京同仁堂舒肝益阳补肾胶囊丸,86,0.00
川贝母官方旗舰店正品,86,0.00
汇贝舒茯苓,86,97.34
炙甘草党参干姜茯苓,86,36.67
美丽冠竹叶饮,86,77.72
雌斛砂仁麦冬片,86,0.00
五芩苓散,85,21.58
八珍粉健脾胃脾胃调理,85,58.57
劲戈,85,0.00
失眠睡眠正宗酸枣仁粉,85,16.56
散装新鲜垂盆草,85,0.00
永顺莓茶张美丽旗舰店500克,85,330.70
沙棘片京东自营旗舰店,85,0.00
虫草参野生,85,55.96
银柴胡防风五味子乌梅生甘草,85,0.00
佑比恩茯苓,84,0.00
佛手香橼汤,84,25.68
利补金胶囊,84,0.00
天麻当归平卧三七片,84,0.00
川贝止咳露,84,176.95
林芝琵琶叶麦冬片,84,30.85
枸杞桑叶决明子各5克,84,55.06
正宗野生回春草,84,25.68
生杏仁无添加京东自营官方旗舰店,84,0.00
益智仁甘草含片,84,29.23
肉苁蓉片中药饮片,84,65.82
京东买药周年庆,83,0.00
人参海参元气饮,83,67.32
天麻黄精饮,83,0.00
安梦宁心丸加强版,83,40.50
灵芝 枇杷叶 麦冬片,83,0.00
甘草金桔干化痰止咳,83,57.71
白芍大片泡茶,83,0.00
眠安宁颗粒,83,175.48
红枣枸杞红豆浆粉,83,68.06
莱茵衣藻,83,241.86
金鸡虎补丸,83,468.55
中风回春丸21,82,105.83
伊乌梅干中药材,82,0.00
天麻当归三七片官方旗舰店,82,13.40
整条蛇肉,82,0.00
猴头菇养胃粉养胃护胃健脾食品,82,63.49
芦荟火麻仁当归片便秘通便,82,21.58
苦瓜桑叶芹菜面,82,36.67
西芹苹果青瓜饮轻小莱,82,284.53
黄芽汤同仁堂代茶饮,82,27.51
龙草饮,82,0.00
中华奶粉,81,353.55
京东大药房石斛砂仁麦冬片,81,0.00
佛手香椽茯苓汤,81,0.00
内蒙古特一级肉苁蓉,81,0.00
北京同仁堂疏肝益阳丸买2送1,81,0.00
半夏夏天天麻丸,81,0.00
灵芝天萸杜仲片,81,0.00
良附附丸,81,0.00
轻意妙薏仁片,81,0.00
适合便秘营养早餐,81,55.06
黄氏枸杞双参丸,81,0.00
乙酰天麻素片,80,269.86
国药健康院山楂鸡内金茯苓栀子饮,80,0.00
庆徐堂,80,0.00
春砂仁官方旗舰店正品,80,9.31
曲盈牌茯苓荷叶茶,80,0.00
杜仲枸杞菟丝子,80,0.00
柴胡舒疏肝散,80,0.00
欧可米黑松露平衡片德国进口,80,35.30
欧玺顿猴头菇益生菌咀嚼片,80,312.39
白眉豆京东自营旗舰店,80,0.00
美国黑金16粒正品,80,300.90
老款德国黑金刚小绿瓶,80,0.00
龙头凤尾,80,783.44
亚麻籽无花果粉黄体酮养雌,79,106.79
伯德维清脂灵,79,45.13
夏桑菊京东自营旗舰店,79,25.68
天麻三七通络贴京东自营,79,0.00
无核黑枣正宗太行山,79,36.67
瓶平宝当归,79,0.00
甘草橄榄无添加京东自营旗舰店,79,0.00
益生菌燕麦片减肥京东自营店,79,0.00
茱萸天麻杜仲叶片,79,9.31
蒲公英枳椇子,79,0.00
补气和桖血胶囊,79,0.00
车前子壳粉京东自营旗舰店,79,0.00
